id_siniestro,monto_reclamado,dias_desde_inicio_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,documentos_completos,id_proveedor,suma_asegurada,cobertura,ciudad,ramo,beneficiario,descripcion,id_asegurado,placa,frecuencia_placa,marca_vehiculo,modelo_vehiculo,anio_vehiculo,frecuencia_conductor_veh,frecuencia_conductor,doc_inconsistente,frecuencia_beneficiario,similitud_narrativa,score,nivel_riesgo,alertas,anomalia_score,es_anomalia
SIN-00004,26148.04,2,12,6,False,P007,28973.55,Robo,Ambato,Vehiculos,Grua Rapida,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,ASG-00285,H361E582,2,Hyundai,Tucson,2018,0,1,True,92,0.9999999999999993,69,ROJO,"Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Documentacion con inconsistencia detectada (+8 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.0391316706528505,0
SIN-00005,8629.79,30,6,3,True,P007,11531.74,Atencion medica,Quito,Vida,Grua Rapida,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,ASG-00362,H361E582,2,Mazda,BT-50,2015,0,0,False,92,1.0,38,AMARILLO,"Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Reporte con demora de 4 a 7 dias (+3 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",-0.009060113718774687,1
SIN-00007,6265.89,5,14,4,False,P002,6829.39,Robo,Cuenca,Generales,Clinica San Marcos,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,ASG-00030,M885M552,3,Nissan,Kicks,2022,0,0,True,86,0.9999999999999993,75,ROJO,"Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Alta frecuencia vehiculo: misma placa en 3 o mas siniestros (+6 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Documentacion con inconsistencia detectada (+8 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.020732492887226783,0
SIN-00008,18573.77,18,2,2,False,P007,29267.87,Responsabilidad Civil,Manta,Salud,Grua Rapida,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,ASG-00247,M885M552,3,Mazda,2,2019,0,0,False,92,1.0000000000000002,47,ROJO,"Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Asegurado con 2 siniestros recientes (+4 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Alta frecuencia vehiculo: misma placa en 3 o mas siniestros (+6 pts) | Dinamica sospechosa: cobertura Responsabilidad Civil sola (+6 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",-0.006404989715898757,1
SIN-00009,31275.95,3,13,6,False,P002,34131.72,Robo,Quito,Vida,Clinica San Marcos,El asegurado reporta que su vehiculo fue robado en un estacionamiento sin camaras.,ASG-00005,M885M552,3,Toyota,Corolla,2017,0,0,True,86,1.0,70,ROJO,"Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Alta frecuencia vehiculo: misma placa en 3 o mas siniestros (+6 pts) | Documentacion con inconsistencia detectada (+8 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.028023465368171685,0
SIN-00012,40107.24,3,11,3,False,P001,43091.64,Robo,Ambato,Salud,Taller El Veloz,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,ASG-00301,N577F720,1,Kia,Sportage,2018,0,0,True,80,0.9999999999999993,69,ROJO,"Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Documentacion con inconsistencia detectada (+8 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.060479136346652085,0
SIN-00019,40864.66,8,11,3,False,P001,42441.92,Robo,Loja,Generales,Taller El Veloz,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,ASG-00292,P896R216,1,Kia,Rio,2017,0,0,True,80,0.9999999999999992,74,ROJO,"Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Monto reclamado es el 96% de la suma asegurada (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Documentacion con inconsistencia detectada (+8 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.06975208440539094,0
SIN-00023,8108.35,18,3,2,False,P007,12137.51,Responsabilidad Civil,Quito,Hogar,Grua Rapida,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,ASG-00200,N860H673,1,Nissan,Sentra,2020,0,0,False,92,0.9999999999999993,46,ROJO,"Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Asegurado con 2 siniestros recientes (+4 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Dinamica sospechosa: cobertura Responsabilidad Civil sola (+6 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.003652904501755483,0
SIN-00033,21815.49,26,5,2,False,P001,26809.8,Choque,Quito,Vehiculos,Taller El Veloz,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,ASG-00364,G801C870,1,Toyota,Yaris,2020,0,3,False,80,1.0,43,ROJO,"Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Reporte con demora de 4 a 7 dias (+3 pts) | Asegurado con 2 siniestros recientes (+4 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Alta frecuencia conductor: 3 o mas siniestros vehiculares del mismo asegurado (+5 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.016005434083781855,0
SIN-00034,29012.76,5,13,4,False,P001,30297.97,Robo,Cuenca,Generales,Taller El Veloz,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,ASG-00339,P327P961,1,Toyota,Corolla,2015,0,0,True,80,0.9999999999999993,74,ROJO,"Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Monto reclamado es el 96% de la suma asegurada (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Documentacion con inconsistencia detectada (+8 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.07455221484300084,0
