id_siniestro,id_poliza,id_asegurado,ramo,cobertura,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,descripcion,documentos_completos,beneficiario,id_proveedor,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,ciudad,suma_asegurada,etiqueta_fraude_simulada
SIN-00001,POL-00176,ASG-00372,Salud,Atencion medica,2025-10-27,2025-10-29,21685.21,21372.71,15991.85,Liquidado,Centro,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,False,Taller Central,P005,20,345,2,2,Guayaquil,33724.11,0
SIN-00002,POL-00325,ASG-00191,Generales,Atencion medica,2024-12-22,2024-12-23,6463.52,7067.26,5260.75,Negativa,Oeste,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Taller Norte,P003,180,185,1,1,Ambato,45415.45,0
SIN-00003,POL-00149,ASG-00373,Vehiculos,Robo,2026-05-16,2026-05-16,14614.73,14529.57,11458.99,Pago Parcial,Oeste,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Taller Premium,P008,252,113,0,1,Cuenca,30036.39,0
SIN-00004,POL-00491,ASG-00285,Vehiculos,Robo,2024-07-07,2024-07-19,26148.04,23721.97,0.0,Pago Parcial,Norte,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Grua Rapida,P007,2,363,12,6,Ambato,28973.55,1
SIN-00005,POL-00525,ASG-00362,Vida,Atencion medica,2026-04-11,2026-04-17,8629.79,7286.85,6967.26,Pago Parcial,Este,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Grua Rapida,P007,30,335,6,3,Quito,11531.74,0
SIN-00006,POL-00221,ASG-00232,Vehiculos,Incendio,2026-05-23,2026-05-26,6233.2,5247.55,4597.66,Reserva,Sur,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Taller Premium,P008,164,201,3,1,Quito,34650.96,0
SIN-00007,POL-00385,ASG-00030,Generales,Robo,2024-11-24,2024-12-08,6265.89,5362.36,0.0,Negativa,Centro,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Clinica San Marcos,P002,5,360,14,4,Cuenca,6829.39,1
SIN-00008,POL-00295,ASG-00247,Salud,Responsabilidad Civil,2024-08-05,2024-08-07,18573.77,18196.12,14712.07,Negativa,Oeste,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,False,Grua Rapida,P007,18,347,2,2,Manta,29267.87,0
SIN-00009,POL-00167,ASG-00005,Vida,Robo,2026-01-26,2026-02-08,31275.95,30990.53,0.0,Pago Parcial,Norte,El asegurado reporta que su vehiculo fue robado en un estacionamiento sin camaras.,False,Clinica San Marcos,P002,3,362,13,6,Quito,34131.72,1
SIN-00010,POL-00309,ASG-00254,Vida,Responsabilidad Civil,2024-12-29,2024-12-31,4030.04,4219.43,2969.93,Liquidado,Centro,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Taller Central,P005,13,352,2,1,Quito,43275.54,0
SIN-00011,POL-00227,ASG-00297,Salud,Dano parcial,2026-11-25,2026-11-25,2562.88,2679.88,2618.3,Negativa,Centro,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Peritajes Express,P004,209,156,0,0,Manta,10777.18,0
SIN-00012,POL-00122,ASG-00301,Salud,Robo,2025-09-14,2025-09-25,40107.24,37197.12,0.0,Reserva,Norte,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Taller El Veloz,P001,3,362,11,3,Ambato,43091.64,1
SIN-00013,POL-00526,ASG-00230,Vida,Atencion medica,2025-03-28,2025-03-28,3853.24,3986.99,3891.42,Pago Total,Oeste,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Taller El Veloz,P001,85,280,0,0,Quito,48279.32,0
SIN-00014,POL-00285,ASG-00077,Salud,Dano parcial,2024-06-27,2024-06-30,23953.42,22962.98,21005.24,Pago Parcial,Sur,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,True,Clinica del Sur,P006,30,335,3,2,Guayaquil,32090.91,0
SIN-00015,POL-00487,ASG-00159,Vida,Robo,2025-07-16,2025-07-19,16819.34,17667.42,17568.31,Negativa,Sur,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Clinica del Sur,P006,153,212,3,0,Quito,47635.17,0
SIN-00016,POL-00533,ASG-00327,Vehiculos,Atencion medica,2025-04-25,2025-04-27,3127.07,2809.47,2064.16,Pago Parcial,Este,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Taller Norte,P003,60,305,2,0,Cuenca,10398.97,0
SIN-00017,POL-00488,ASG-00201,Salud,Responsabilidad Civil,2024-07-17,2024-07-24,22025.33,18408.01,15065.92,Cierre Sin Consecuencia,Oeste,Choque en parqueadero de centro comercial con camaras de seguridad.,False,Clinica del Sur,P006,26,339,7,2,Loja,34933.13,0
SIN-00018,POL-00347,ASG-00336,Vida,Incendio,2025-04-01,2025-04-01,2497.22,2206.43,2016.78,Liquidado,Oeste,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Peritajes Express,P004,70,295,0,1,Cuenca,16132.84,0
SIN-00019,POL-00466,ASG-00292,Generales,Robo,2025-02-07,2025-02-18,40864.66,41736.69,0.0,Reserva,Este,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,False,Taller El Veloz,P001,8,357,11,3,Loja,42441.92,1
